reviews.text,Evaluation
"I usually do not stay in Best Western due to my previous experiences in other Best Western's. Once I walked in the staff was so friendly and had my room ready in minutes. I had an amazing view of the pool, the room was clean,...MoreDear Diane H, Thank you for rating and reviewing our property, I am sorry that you had prior unhappy experiences with Best Western. We are so glad that you gave us a try!!! Thank you for sharing your experience with us, we really appreciate it....More",Good
"Nice facility. When making my reservation, the front desk misspelled my first name. Uoon check in I have my corrected spelling however it was never corrected. Room verty nice and bed comfortable. Would not recommend the restaurant located in the hotel. What I ordered was unpleasant.",Good
"Last minute reservations were easy and lovely. We arrived late enough at night that we were exhausted. The supper at the hotel was toecurling good. And the easy access to the beach was just lovely. One of the door men gave us great directions to...MoreThank you, Wantina, for taking the time to write a wonderful review about your stay at Sonesta Resort Hilton Head Island. We are glad to hear that your supper was toe-curling good and that our staff was able to provide a great breakfast recommendation for...More",Good
"We travel to this area fairly fairly often. By far this is the best hotel we have stayed at. The entire hotel and grounds are in excellent condition. We found the staff to be very friendly, outgoing and helpful. And most important to us, the room was extremely quiet. A very family friendly hotel! The FREE breakfast was very good... More",Good
This hotel staff goes out of their way to make you comfortable and satisfied with your stay there. We've come here many times and will continue to because they make us feel welcome. We could have stayed nearby at other hotels but we prefer how this hotel is r4un by the management.,Good
Located on a private beach area in the middle of two restaurants that are in walking distance. We had a wonderful time. Each room has a outside sitting area. The small kitchen supplied with everything we need all we had to bring was food and drinks.,Good
"Just got back from a great stay at the Historic French Market Inn. It's location in the heart of the French Quarter puts you in walking distance of all the major attractions and if you don't plan on leaving the city, don't bother renting a car since you won't need it. If you're looking for a modern high rise hotel with loads of brand new bells and whistles, go somewhere else!! If you're someone who appreciates the true flavor of New Orleans, then this is the place for you!! The French Market Inn maintains the historic charm of the city with authentic furnishings, high ceilings, and an adorable central courtyard containing a small in-ground pool that doesn't compromise the historic feel of the property. The mattresses were comfortable, the linens were clean, and the large showers had amazing water pressure. The desk and bell staff were polite and very helpful, and I recommend this hotel to visitors of all ages.Hi Christopher, thank you for choosing our historic hotel and taking the time to share your experience. We're glad you enjoyed your stay in New Orleans and we look forward to the opportunity to welcome you back soon.",Good
"For the best customer service at the best price, stay at this wonderful hotel. Every member of the staff goes the extra mile for each guest and, Lou Verde, the hotel manager, sets the perfect example for his employees. I met Lou on my last visit a year ago and he greeted me by name when I arrived this year.... More",Good
"Stayed here for a week with my husband and two teenage sons, I choose this hotel because of the reviews and location.Check in and out was very efficient carried out by friendly and helpful staff, Concierge Staff were equally as helpful and professional through out the week.Our room, and indeed the whole hotel, was very clean and tastefully decorated.There was enough space for all of us and we each found the beds to be very soft and comfortable. Only downside was, although it was great to have a small coffee machine, it wasn't big enough nor did we have enough tea or coffee, or even cups for four people. I did ask on several occasions for more, but I did get fed up asking. This also went for the towels, having asked, again on several occasions, we only received three bath towels! We were there 7 days and I had paid for four adults so I am a bit of a loss why this kept happening. It was a bit irritating and slightly lacking on such a good hotel. I hope this will be rectified for future patrons.There is a small gym and a business centre with two computers and a printer, very handy for checking in to your airline and printing out boarding passes.The terrace garden is small but it was lovely to have a picnic alfresco in the city.I can't comment on the food here as we ate out all the time as there are loads of places to choose from locally. Walgreens Supermarket just up the street and left on Powell. Union Square just a little further down.In my book a clean hotel and location is key for me and the location of this hotel was spot on, easy access to all forms of transport, BART from the airport, trams, buses, muni metro and streetcar. Right next to the Chinatown Gate and easy access to all the tourist spots.We all really enjoyed our stay at this hotel and in San Francisco in general, lots to see and do and the people are really friendly and welcoming where ever we went, and to cap it all off the Giants won the World Series and we were treated to a Homecoming Parade in their honour.....awesome.This hotel has good Eco friendly practices and will plant a tree for every review posted.Thank you for your great review, and as promised, we will definitely plant a tree for you for leaving a review on TripAdvisor! As you know we do this for all reviews, but are happier when it is done for a positive review. I'm so sorry to hear that your requests for tea, coffee and towels were never appropriately met. Although it sounds like you enjoyed your stay overall, I will make sure to work with the team so that going forward they can improve their performance. I'm happy that you were able to take full advantage of the public transportation and enjoyed all the sights this beautiful city has to offer! If you ever find yourself traveling back, we would certainly love to host you again!And we agree a clean hotel and location are vital to a great staySincerely,Bruce P.Front Office Manager",Good
"Hotel is in a great location for 5he purpose o my trip. Staff was very accommodating. Check in and check ou5 wa extremely easy. Internet work well, food was good, room was clean and quiet. Will stay here again if Im in San Diego",Good
This is by far the best hotel we have stayed at in a long time. Lobby is beautiful and service is friendly and efficient. The room is spacious and modern with a kitchen. Pricing is very reasonable considering the spacious beautiful room.Thank you for staying with us and for giving us a 5 star review! We aim to make each guest feel at home when they walk through our front doors!,Good
"We stayed in two rooms for one week. The hotel IS IN the convention center. Had I know this, I would have booked at a smaller place. As a result, it was very crowded and there was no real personal attention. The rooms were clean and offered lovely views. Club level was worth it. Sadly, my young son lost his treasured baby blanket at the hotel. (we think in the laundry). And there were many many tears over that. I think more from me! We asked several times with several people, but it was never found. We are still heart broken.",Good
"1950's bone redone quite recently in an area that is being rejuvenated. Not much available within walking distance yet. Comfy motel-type room, dingy key, on-site restaurant. Great breakfast if heavy on carb side.Close enough to tourist attraction to serve as a base for your visit.Weekend starts on Thu with music by the really nice pool. Don't know how loud it is since I left before weekend. A factor to consider.Thank you for staying with us. Yes we totally renovated the entire hotel in 2014 - mid century modern architecture and design. We are centrally located as w are only 15 minutes away from the airport, 10 minutes away from Wynwood and the Design District, and 20 minutes away from South Beach. We have live entertainment on the pool deck Thursday, Friday and Saturday nights but our policy is to turn down the music at 11 pm and turn it off at midnight. We hope to see you back at the Vagabond very soon !",Good
"We stayed as part of a group. Price was very affordable and a good value for the stay. The entire hotel was very clean. I remember the bathroom being slightly aged but it was nothing to ruin our stay. Our room was a king bed, a nice size with view facing window. The window curtain was just long enough to cover the AC which would have otherwise directly blown on us, and allowing the room to cool to the right temp. The lobby is very charming, with amenities such as snacks and drinks to purchase immediately adjacent to the front desk, and a little cafe and lots of seating. The pool and hot tub are nice, very clean, and a decent size. The lounge chairs are a little overcrowded but there's plenty of seating. It's in walking distance to many shopping centers, delis, coffee shops, and grocery.You'll need your room key to get anywhere within the hotel, including back inside from the pool area.Only complaint is that the advertised check-in time is 4PM which is late. Thankfully we asked if we could get in earlier and a room was ready.The staff - everyone we saw - was wonderful, kind, and professional. We would have loved to have stayed another night.Great for families, couples, and groups.",Good
We were in Key West for 5 days from July 17 and stayed at Orchid Key. This is one of the best places I have ever stayed. The staff was very friendly and helped with anything that we needed. I loved the bed and if...More,Good
"This location is a wonderful quite little hidden spot in the Rancho Bernardo area. Check-in- was very quick and easy, and I was even able to check-in two hours before regular check-in(a Super Thumbs-up). All the staff members were very professional and courteous. There were several restaurants within a five to ten minute walk. There was even a Soupplantation across from the hotel, and the pool was excellent. The personal landuary room was great and very helpful. Hilton Garden Inn in San Diego/Rancho Bernardo gets a four and half out of five in my book. Thank you for choosing the Hilton Garden Inn and sharing your find with the travelers on Trip Advisor. I will be sure to share your comments with our team. We will see you on your next trip to Rancho Bernardo!",Good
"Last minute stay in a last minute location . Clean rooms and clean bathroom. Will stay here again. Dear Ms. Tammyhx3398QO,Thank you so much for taking the time to share your feedback. I will definitely share this information with my entire staff.The Wingate by Wyndham hotel is looking forward for to your next visit to Atlanta please feel free to contact us for any request.Tremeil BooneAssistant Manager",Good
"I've started staying here while visiting relatives in the Olympia area. It's clean, right off the freeway, next door to Costco and close to Cabelas. It's a much better choice than the places I had stayed near College St. Breakfast is included and it's complete and convenient although the quality wasn't the best. I've always received excellent treatment from all... More",Good
"From the moment we arrived at 9.30 in the morning and we were able to check in to the moment we sadly had to leave was totally fantastic. The rooms were comfortable and clean with the most amazing views overlooking a beautiful park as well...MoreAloha Janet Ross, Mahalo for taking the time to review us. My team I are very happy to learn that we have met your expectations. Glad you enjoyed our close proximity to the beach and our hidden tranquil Oasis location by a park...More",Good
"The overall hotel was clean. The staff was friendly. The breakfast was good. About a 7 minute drive to the Dallas Convention Center. Would recommend this hotel as a good place to stay. We will stay here again if in the area.Greetings Thank you very much for taking the time to review our property.Your input, and the feedback from all of our guests is vitally important to us and we always want guest expectations to be met upon arrival.We hope to see you again in the future and you can reach us directly at (214) 353-8774 if I can be of any assistance.",Good
"Stayed over the Christmas period - amazing hotel within the Pearl Brewery complex, since the hotel is build in the previous brewery building , they kept a lot of the original architecture and element and it creates a wonderful one of a kind experience, great...More",Good
This is a classic looking hotel located very close to the French Quarter in the city centre. Offered is the excellent Drury value with the breakfast and 5 o'clock kickbacks. The rooms are well appointed and comfortable. The service was excellent. I really could not find fault with this hotel and would definitely use it again.,Good
"My wife and I stayed here while visiting Seattle. The property is ideally located, near the monorail, close walking distance to the market and shopping. The staff is very professional, the hotel is very clean, secure and quiet. I have no complaints. I recommend upgrading for a room with a view of the harbor.",Good
"If you are looking for a cool adult hotel near the airport (5 miles) and want to feel special this is your place. Our two rooms were retro and clean and we were given free parking, drinks and appetizers with a special. All staff were fun, considerate and food was delicious. We sat outside around a pool with giant beach balls on a perfect San Diego evening watching classic surf films and silent reruns of Gilligan's Island. A Starbucks a block away and you are close to drive to downtown, Oldtown, beach and more.BIG TIME THANK YOU for your review!!!!!! On behalf of the entire Pearl Hotel team we appreciate your support. It's an honor to serve you. Please tell a friend and hope to see you soon.",Good
Our room was clean warm and inviting. The fire place was wonderful and cozy because of the rain. The hot tub in the room added romance and relaxation that was so needed for my husband and I. A morning walk to the park and then into town was very enjoyable. We found a very sweet restaurant for breakfast Old Monterey... More,Good
"Extremely gracious staff, small but well appointed room, close to everything (but just far enough away).We had a first floor patio room with a small pool and courtyard setting. (It was available for two other rooms and accessible via a hallway - but we saw no one else there except hotel staff - so it felt very private.)All requests quickly and pleasantly provided to us. Note: we are not NOLA vacationers - and do not enjoy partying - so this hotel was a welcome and pleasant surprise.",Good
"Our family stayed for 8 nights from May 21-29 at this beautiful property. We stayed in a 1room suite (2 queen beds). On the 5th floor with a pool view. Very spacious,comfortable and clean room. From time we arrived til we left we had the exceptional service. Especially the staff at breakfast and dinner. Your all the best and know what service really is. Always replenishing food with a smile. Never had any issues getting room service (extra towels etc..) Many thanks to Ebony for making our trip a memorable one. The kids loved the resort style pool and basketball. Both a hit with the kids. Visited the parks during days and enjoyed the lovely pool area in evenings. We enjoyed the dinner (M-Th) and order for the Hilton Garden once. Much preferred takeout from Chevy's MexIcan and Fruddruckers and enjoy a nice dinner in the pavillion lounge. The location is close to many restaurants (Chili's, Uno's, TGIF, Fruddrukers, Olive garden and lots more! There is a Walmart Supercenter about 5-10 minutes away if you drive along Turkey Lake road. Nice guest laundry available on 1st floor. Just minutes away are the Orlando Premium Outlets (Vineland Road) and Premium Oulets International is about 20 minutes away. Preferred international ones better. Best family resort in Orlando with everything you need and more. Disney is about 10 min away and everything else isn't too far either. Very nice lobby, pool area and overall imaculate property. The 2 hotels is joined by the carribean resort pool and awesome hot tub.We'll be back and if your a family looking for a great vacation don't hestitate to stay here!",Good
"The hotel aesthetically appealing. The room was spacious and clean for the most part, except the tub was a little. The restaurant was good, all facilities and the internet access were excellent. The staff was friendly and there was plenty of parking lot space. The location was ideal for the business trip at hand. Thanks.",Good
We spent the night at a Marriott so that we could fly out the next morning from Miami international. I wish we had stayed here. This was an amazing hotel set and an amazing neighborhood of grand and unusual homes along tree-lined street. The hotel itself was built I think in the 20s. We ate in the center courtyard. Were... More,Good
"Very nice location. At the Grand Hyatt for a conference. Rooms great. Conference rooms great. Food for conference excellent, extremely fresh (nice crisp vegetables). All the natural finishes are lovely - fossils in the bathrooms. About as relaxing as a conference hotel can get.Thank you for the review on your stay at the Grand Hyatt Seattle. We loved the feedback on the facility and food during your conference! I am glad you were comfortable during your stay, and we would be happy to welcome your conference back to our hotel in the future. Lindye W. Guest Relations Manager",Good
"I enjoyed a 2 night stay here recently and will surely make this my choice to stay in the Atlanta area in the future. First and foremost, our room was clean and comfortable. The location, being attached to the mall next door, is very convenient. However, the the highlight of my stay was the service of the front desk, concierge and valet/shuttle team. Im sure this was a very busy weekend but all of these individuals were the most proactive service oriented hospitality professionals. They truly seem to want to do everything they can to make your stay top notch. Other members of our party were staying at a different hotel down the road and wished they had stayed here.PS. Loved the refreshing fruit infused water in the lobby and the make your own trail mix happy hour. Very fun and appreciated! Dear 007traveler64,Thank you for sharing your fantastic experience at JW Marriott Atlanta Buckhead! It was a pleasure to read your review, especially that our hospitality surpassed your expectations. Our goal is to provide the highest levels of service so you will visit often and recommend us to others. Thanks again for choosing us, and we are looking forward to welcoming you back for another memorable trip. Best Regards,Eb MbyeDirector of Operations",Good
The Benson has a very good location in downtown Portland. I found all of the staff to be welcoming and working hard to make my stay enjoyable. Room service breakfast was promptly delivered on Sunday morning. The valet parking was very friend and efficient. I found the lighting in El Gaucho left much to be desired. I prefer a less... More,Good
"The location, just on the verge of French Quarter with 5-minute walk to its center sells this htel easily. But it has also more to offer - quaint insides and nice architecture, a very nice pool, breakfasts slightly better than all other motels and a good service. The price is OK for New Orleans and this location, though you have to pay additionally for th parking. Overall I had a great experience.Thank you for taking the time to review our hotel. We are so please you were able to enjoy our prime location and our amenities. We hope you will come back and stay again soon.",Good
"Everything about this hotel is wonderful. The staff, the accommodations and the amenities. They are all about service and all about the details and it shows The restaurant Supper was also amazing. We had breakfast and dinner there and both were outstanding.",Good
"We made reservations and stayed here for a weekend with our baseball team. Upon arriving, the friendly staff had our group checked in very quickly. The rooms were quiet, clean, cool, and very comfortable. If you needed something, the staff made sure it was taken care of promptly, great service. They have a nice breakfast with a variety of items... More",Good
"The staff were great. Christian at the front desk was terrific and truly offered a luxury experience. Housekeeping staff did a great job and were nice enough to run my wife's bath prior to returning to the hotel (several times, sorry). Private dining breakfast was not the best but again the attendant was very accommodating. We didn't have a chance to experience the spa and pool. Only negative feedback would be that the windows were not soundproof. Overall a very pleasant stay and would return.",Good
"The staff at the Ocean Park Inn is great, and do a wonderful job making you feel welcome. The hotel is very nice, very clean, and is conveniently located to lots of attractions. Get a room facing the ocean.Thank you for providing us with this wonderful feedback, we are so glad that you enjoyed your stay with us and that our team took such great care of you. We look forward to welcoming you back soon!",Good
"My husband and I travel to New Orleans often, but the St. James is one hotel that we definitely adore. The location is perfect only three blocks from the French Quarter and a short streetcar ride to the Garden District. The staff is phenomenal! Danielle, Amy, and Tori are the definition of southern hospitality! They were so knowledgeable of the area and gave us great recommendations on where to eat, drink, and where to enjoy a taste of the local perspective. The room was fantastic! We were upgraded to a suite at check-in, and it was definitely one of the highlights of our stay. Needless to say, we will definitely be staying here from now on and we will be telling all of our friends and family about the St. James!Thank you for the glowing review! My staff will be delighted to know we gave you that touch of southern hospitality that we strive for everyday. We sincerely appreciate the recommendation to friends and family and can't wait to provide them with excellent customer service as well! We hope to see you again soon!Warm Regards,",Good
"The hotel staff provided great service, the room was very nice with a fridge and microwave, and the Wi-Fi was great. Also, I liked the really nice breakfast. The hotel is just off of the Waterson Pkwy. Good experience.",Good
"We had a great stay at the W. The vibe was Seattle cool with live music in Friday night in the lobby. Rooms were modern and clean. Great location to all the attractions, including the light rail from the airport Hello Caryn S, many thanks for your response on your recent stay at W Seattle. We are thrilled that you enjoyed your stay and the late night atmosphere! We agree with you, that the location of the hotel is perfect, so close to almost all of Seattle's hotspots. We looking forward to seeing you again!",Good
"This is the largest Hilton Garden Inn I've ever stayed in, 8 floors. Not far from Love Field, so quite convenient. Hotel shuttle driver picked me up at the airport and was very nice and accommodating. Front desk checking in seemed a little inexperienced, but got the job done. Restaurant was very good, server was outstanding. Only a few of the TV channels are in HD, I was quite surprised they haven't upgraded to better reception. Upon checkout, front desk was incredibly helpful in assisting me to get an UBER ride. I'd stay here again just for the outstanding staff.We would like to thank you for your review we have recently hired new guest agents to our staff who are still in their training period but still I would like to apologize for the less than great experience. We would love to service you again.Thanks,",Good
"This place is so well located, you can take the blue line from the airport straight here and its a 4 min walk, with no changes.You are also so close to the river and next door to Les Miserables show at the moment, its easy to get around by walking or on the bus from here.Rooms are nice and free prosseco goes down well every day at 5pm.Great Art Deco feelHighly recommendedHello! We truly appreciate you taking the time to provide your comments. The Allegro is fortunate to have such a convenient location to share with all of its guests to make city livin' easy. Our staff (and complimentary Prosecco) will always be here to welcome you back!",Good
"I spent one night here. Location was great. Check-in wasn't until 3p so we parked across the street for the same price as valet and got our party started early! The room was nice and cool as well! Great price. We paid 99 for one night in June. Staff was friendly. There wasn't much of a view. Loved the wifi too!Thanks for choosing to stay with us at the St James Hotel in New Orleans. We know when you are traveling you have many options to choose from when it comes to a place to stay. We are absolutely honored that you gave us a chance and took your time to write a review on Tripadvisor!!! We cannot thank you enough and just want you to know that we truly value your opinion and you as Our Guest.We truly hope that on your next visit to the Big Easy you will choose to stay with us again!Warm Regards,Sarah HixsonDirector of Sales",Good
"This hotel was great. The rooms were very spacious and clean. The shower was a nice walk in shower. It was nice and quiet. The staff was friendly. The continental breakfast was fantastic. The staff was friendly and willing to assist in any way possible. Every time you walked by they looked up and said hello with a smile. I would highly recommend this hotel.Savannah S,It was a pleasure accommodating you recently at the Hyatt House Seattle Downtown and we sincerely appreciate the glowing review! I have shared your feedback with the team regarding your experience and will strive to make sure we are exceeding all of our guests expectations. Please let us know when you visit next as we look forward to having you as our guest!Sarah Junge",Good
"This is long overdue. However, my family and I had a wonderful trip from cape cod to this hotel. We drove here, we stayed over Christmas, which we have never not been home before. My family surprised us and showed up too and the front desk helped arrange for them to be right near us! The staff here were friendly, accommodating and the rooms were very clean! This property is a suites property and worked out very well for our family. Hotel was close to restaurants and a short drive to Disney and all the amusements parks which were very fun!",Good
